ID,Type,Median Value (experiment1),Median Value (experiment2),Mean Value (experiment1),Mean Value (experiment2),Comparison p-value (experiment1),Comparison p-value (experiment2),Median Log2 Fold Change (experiment1),Median Log2 Fold Change (experiment2),Mean Log2 Fold Change (experiment1),Mean Log2 Fold Change (experiment2),Median Log2 Fold Change Direction (experiment1),Median Log2 Fold Change Direction (experiment2),Median Log2 Fold Changes Consistent,Combined Comparison p-value,Corrected Comparison p-value
OTU_194665,microbe,5.4284516455,2.7662176335,7.569763367760004,3.254309313760001,0.0119252335930176,0.8412698412698413,-0.40885704733809847,0.12477684870397361,-0.4756829033624845,-0.0027584647879541763,-1.0,1.0,False,0.05620057793573507,0.1486357390142467
OTU_195189,microbe,21.237829769999998,12.005668499999999,35.68752686174,13.86725032262,1.0,0.2222222222222222,2.336896734581875,0.41683475564479927,0.43700750411062916,1.271123468372924,1.0,1.0,True,0.556461643728061,0.6428091401686222
OTU_196191,microbe,3.919567839,2.1389852065,4.4934520639799995,2.4766245740400006,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_196315,microbe,5.148110732999999,1.9911797625,5.318939026279999,2.325618317520001,0.0119252335930176,0.6904761904761905,-0.40885704733809847,0.41683475564479927,-0.4756829033624845,-0.08560513258782111,-1.0,1.0,False,0.04775337724023522,0.14326013172070567
OTU_197099,microbe,3.799531591,1.9327392935,4.163361116740001,2.02996424024,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_197706,microbe,233.1509581,94.19238419999999,295.4933495528601,103.40077613940001,0.0119252335930176,0.15079365079365079,2.0238059804939166,-0.6726548818565061,2.25977304763463,1.020963729331455,1.0,-1.0,False,0.013164879612405754,0.09570736044220153
OTU_197790,microbe,0.0,0.0,1.6252301732400003,3.2762698641199997,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_197853,microbe,6.7694154399999995,4.249411067,6.603110853640001,4.1854868925,0.15079365079365079,0.5476190476190477,-0.11888977996579296,-1.4656424379909239,0.15876823440107388,-0.7080242775889175,-1.0,-1.0,True,0.2885272128251804,0.43279081923777063
OTU_198194,microbe,23.819120509999998,12.697999915,31.393734997060008,17.203976919700004,0.15079365079365079,0.015873015873015872,2.2887469351899647,1.734674080671472,3.527473671215724,1.486348294366584,1.0,1.0,True,0.016838570852778397,0.10112913369477593
OTU_198209,microbe,5.883329612000001,4.594039246,60.21457247384,23.980860794539993,0.24915263858192682,0.0119252335930176,0.3328952386886754,1.3568419532449794,0.6273188547698424,1.465890536678299,1.0,1.0,True,0.02026000684184449,0.1163503250060212
OTU_198888,microbe,1378.15924,227.5892735,1609.748168559419,253.36904046643997,0.30952380952380953,0.5476190476190477,1.0511778372648481,0.226030190241621,0.796094732839079,0.9881266867140254,1.0,1.0,True,0.47034796104854815,0.6138957153945337
OTU_199137,microbe,15.10088077,8.9118905425,16.485119926700005,8.987314031779997,0.6904761904761905,0.2222222222222222,1.3230107073482973,0.41683475564479927,2.251844474389584,2.0547146221749846,1.0,1.0,True,0.4410533564397985,0.5794230368915
OTU_199268,microbe,nan,1.728993019,nan,8.3546100023,nan,0.09523809523809523,nan,1.0936807596323312,nan,1.8425235091598122,nan,1.0,False,0.0952380952380952,0.20921155347384848
OTU_1995182,microbe,25.362316030000002,7.270355278,137.0664294198,25.565012141279993,0.16660739402832658,0.011667312343319386,-0.11780780248403427,-2.6923254705357462,-0.5169352174633168,-2.474153870925666,-1.0,-1.0,True,0.014079535847426279,0.09929777913448008
OTU_203713,microbe,3761.972673,757.5655379,4555.016626026004,1298.8882625444,0.010417773157830204,0.027328471987604876,-1.1866412317209196,-1.7056211290407488,-1.1569246981938588,-3.2480715888241023,-1.0,-1.0,True,0.0026090269025400583,0.09219122893063604
OTU_206324,microbe,11.510429665,8.3152628005,42.38909500588001,14.09269684632,0.007936507936507936,0.007936507936507936,-4.321639603593258,-2.564556963319589,-4.134108876940972,-3.0100294708558324,-1.0,-1.0,True,0.0006722451381899064,0.09219122893063604
OTU_210262,microbe,3.0019142145,nan,18.2283941707,nan,0.0119252335930176,nan,-0.46992405199094206,nan,-2.206136264578577,nan,-1.0,nan,False,0.011925233593017597,0.09219122893063604
